tree_id,species,latitude,longitude
200311, Roundleaf sweetgum,37.78919309,-122.3900057
10425, Brazilian Pepper,37.7700941,-122.44569309999999
43163, Blackwood Acacia,37.72603642,-122.4226902
188921, Lemon Bottlebrush,37.75195457,-122.39948170000001
643, Chinese Banyan,37.7523982,-122.41677240000001
195969, Lombardy Poplar,37.74796148,-122.3894345
133773, Sycamore: London Plane,37.79246726,-122.4395335
137657, English Hawthorn,37.77880441,-122.44475700000001
209974, New Zealand Xmas Tree,37.72831263,-122.4581057
9999, Indian Laurel Fig Tree 'Green Gem',37.76921223,-122.4246565
94792, Mayten,37.79098842,-122.4508487
185626, Myoporum,37.746220799999996,-122.49450420000001
206468, Cotoneaster,37.73360336,-122.44433909999998
29149, Brisbane Box,37.783949799999995,-122.41268629999999
82688, English Hawthorn,37.75197824,-122.4968327
134799, Sycamore: London Plane,37.80213141,-122.41914709999999
22723, Laurel Fig,37.78042217,-122.432176
200043, Evergreen Pear,37.73243786,-122.38954809999998
30326, Swamp Myrtle,37.71906925,-122.4591242
177625, New Zealand Xmas Tree,37.71603005,-122.4345534
240965, Queen Palm,37.75842145,-122.4435561
106947, Cherry Plum,37.79606292,-122.4453857
123907, Victorian Box,37.785509999999995,-122.46899180000001
237971, Cherry,37.74838115,-122.41303
212470, Cherry Plum,37.72754695,-122.45631019999999
238522, Kwanzan Flowering Cherry,37.73743517,-122.4330686
246246, Victorian Box,37.76753847,-122.44431780000001
46353, Southern Magnolia,37.79078673,-122.44129309999998
41683, Evergreen Pear,37.76097966,-122.44460959999999
89070, Sweet Bay: Grecian Laurel,37.77639009,-122.47686350000001
21565, Sycamore: London Plane,37.78729185,-122.4243405
89610, Small-leaf Tristania 'Elegant',37.77769248,-122.4933791
241428, Swamp Myrtle,37.74547208,-122.4382894
19262, Victorian Box,37.78219531,-122.4376084
4221, Sycamore: London Plane,37.7475408,-122.42854720000001
3015, Sycamore: London Plane,37.78873184,-122.4346644
183551, New Zealand Xmas Tree,37.73920093,-122.4798918
230477, Southern Magnolia,37.75985952,-122.4110098
201010, Brisbane Box,37.76098758,-122.3887564
